# OpenSignals Text File Format. Version 1
# {"0C:43:14:24:7F:C7": {"position": 0, "device": "bitalino_rev", "device name": "0C:43:14:24:7F:C7", "device connection": "BTH0C:43:14:24:7F:C7", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-9-11", "time": "12:17:23.301", "channels": [2], "sensor": ["ECGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	447	
1	0	0	0	0	449	
2	0	0	0	0	453	
3	0	0	0	0	456	
4	0	0	0	0	458	
5	0	0	0	0	460	
6	0	0	0	0	462	
7	0	0	0	0	465	
8	0	0	0	0	468	
9	0	0	0	0	472	
10	0	0	0	0	475	
11	0	0	0	0	476	
12	0	0	0	0	475	
13	0	0	0	0	475	
14	0	0	0	0	473	
15	0	0	0	0	471	
0	0	0	0	0	469	
1	0	0	0	0	467	
2	0	0	0	0	465	
3	0	0	0	0	465	
4	0	0	0	0	465	
5	0	0	0	0	465	
6	0	0	0	0	465	
7	0	0	0	0	468	
8	0	0	0	0	470	
9	0	0	0	0	471	
10	0	0	0	0	471	
11	0	0	0	0	472	
12	0	0	0	0	472	
13	0	0	0	0	472	
14	0	0	0	0	473	
15	0	0	0	0	473	
0	0	0	0	0	472	
1	0	0	0	0	473	
2	0	0	0	0	474	
3	0	0	0	0	475	
4	0	0	0	0	476	
5	0	0	0	0	476	
6	0	0	0	0	478	
7	0	0	0	0	481	
8	0	0	0	0	483	
9	0	0	0	0	483	
10	0	0	0	0	482	
11	0	0	0	0	480	
12	0	0	0	0	478	
13	0	0	0	0	479	
14	0	0	0	0	479	
15	0	0	0	0	477	
0	0	0	0	0	480	
1	0	0	0	0	480	
2	0	0	0	0	482	
3	0	0	0	0	485	
4	0	0	0	0	487	
5	0	0	0	0	487	
6	0	0	0	0	484	
7	0	0	0	0	483	
8	0	0	0	0	482	
9	0	0	0	0	483	
10	0	0	0	0	484	
11	0	0	0	0	487	
12	0	0	0	0	490	
13	0	0	0	0	494	
14	0	0	0	0	499	
15	0	0	0	0	502	
0	0	0	0	0	501	
1	0	0	0	0	500	
2	0	0	0	0	499	
3	0	0	0	0	498	
4	0	0	0	0	503	
5	0	0	0	0	507	
6	0	0	0	0	508	
7	0	0	0	0	510	
8	0	0	0	0	515	
9	0	0	0	0	512	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	506	
14	0	0	0	0	502	
15	0	0	0	0	499	
0	0	0	0	0	496	
1	0	0	0	0	493	
2	0	0	0	0	491	
3	0	0	0	0	491	
4	0	0	0	0	494	
5	0	0	0	0	498	
6	0	0	0	0	498	
7	0	0	0	0	500	
8	0	0	0	0	506	
9	0	0	0	0	504	
10	0	0	0	0	492	
11	0	0	0	0	478	
12	0	0	0	0	477	
13	0	0	0	0	473	
14	0	0	0	0	469	
15	0	0	0	0	470	
0	0	0	0	0	476	
1	0	0	0	0	481	
2	0	0	0	0	489	
3	0	0	0	0	501	
4	0	0	0	0	503	
5	0	0	0	0	502	
6	0	0	0	0	500	
7	0	0	0	0	500	
8	0	0	0	0	492	
9	0	0	0	0	495	
10	0	0	0	0	494	
11	0	0	0	0	503	
12	0	0	0	0	505	
13	0	0	0	0	503	
14	0	0	0	0	509	
15	0	0	0	0	517	
0	0	0	0	0	521	
1	0	0	0	0	522	
2	0	0	0	0	522	
3	0	0	0	0	514	
4	0	0	0	0	512	
5	0	0	0	0	504	
6	0	0	0	0	497	
7	0	0	0	0	499	
8	0	0	0	0	495	
9	0	0	0	0	495	
10	0	0	0	0	502	
11	0	0	0	0	503	
12	0	0	0	0	506	
13	0	0	0	0	508	
14	0	0	0	0	511	
15	0	0	0	0	518	
0	0	0	0	0	518	
1	0	0	0	0	516	
2	0	0	0	0	521	
3	0	0	0	0	520	
4	0	0	0	0	519	
5	0	0	0	0	517	
6	0	0	0	0	516	
7	0	0	0	0	516	
8	0	0	0	0	519	
9	0	0	0	0	521	
10	0	0	0	0	513	
11	0	0	0	0	500	
12	0	0	0	0	500	
13	0	0	0	0	499	
14	0	0	0	0	496	
15	0	0	0	0	492	
0	0	0	0	0	492	
1	0	0	0	0	497	
2	0	0	0	0	504	
3	0	0	0	0	501	
4	0	0	0	0	504	
5	0	0	0	0	510	
6	0	0	0	0	512	
